"LOINC_NUM","COMPONENT","PROPERTY","TIME_ASPCT","SYSTEM","SCALE_TYP","METHOD_TYP","CLASS","SHORTNAME","LONG_COMMON_NAME","RELATEDNAMES2","LinguisticVariantDisplayName"
"20878-5","Ідентифіковані бактерії","Наявність або Ідентифікація","МоментЧасу","Ізолят","Категорійно","Анаеробна культура","Мікробіологія","Ідентифіковані бактерії НвнІд Ізл АнаерКульт","Ідентифіковані бактерії [Наявність або Ідентифікація] у ізоляті методом Анаеробна культура","Anaero; Anaerobe; Anaerobe Cult; Bact; C&S; Cult; Cultures; ID; Identity or presence; Infectious Disease; InfectiousDisease; InternalLabUse; Islt; Isol; Isolated; Microbiology; Nominal; Point in time; Random","Ідентифіковані бактерії АнаерКульт (Ізл) [НвнІд]"
"2821-7","Калій","Молярна Концентрація","МоментЧасу","Рідини тіла","Кількісно","","Хімія","Калій РідТіл-МолКнц","Калій [Молі/об'єм] у рідинах тіла","B/F; BF; bod; Bodies; Body fluid; Body fluid, unsp; Chemistry; Fl; Fld; FLU; Fluid; k; K+; Level; Point in time; Potass; QNT; Quan; Quant; Quantitative; Random; Substance concentration","Калій (РідТіл) [Молі/об'єм]"
"2829-0","Калій","Молярна Швидкість","24год","Сеча","Кількісно","","Хімія","Калій 24год Сеча-МолШв","Калій [Молі/час] у добовій сечі","1 day; 24 hours; 24HR; Chemistry; k; K+; Kidney; Nephrology; Potass; QNT; Quan; Quant; Quantitative; Renal; sRate; Substance Rate; UA; UR; Urn","Калій (24год Сеча) [Молі/час]"
"2824-1","Калій","Молярна Концентрація","МоментЧасу","Еритроцити","Кількісно","","Хімія","Калій Ер-МолКнц","Калій [Молі/об'єм] у еритроцитах","Chemistry; Erythrocytes; k; K+; Level; Point in time; Potass; QNT; Quan; Quant; Quantitative; Random; Red blood cells; Red blood corpusles; Substance concentration","Калій (Ер) [Молі/об'єм]"
"32367-5","Ідентифіковані бактерії","Наявність або Ідентифікація","МоментЧасу","Ізолят","Категорійно","Аеробна культура","Мікробіологія","Бактерія Ізл АеробКульт","Ідентифікована бактерія в ізоляті методом Аеробної культури","Aerobe; Aerobe Cult; Aerobed; Bact; C&S; Cult; Cultures; ID; Identity or presence; Infectious Disease; InfectiousDisease; Islt; Isol; Isolated; Microbiology; Nominal; Point in time; Random","Ідентифікована бактерія АеробКульт Кат (Ізл)"
"43409-2","Ідентифіковані бактерії","Наявність або Ідентифікація","МоментЧасу","Ізолят","Категорійно","Культура","Мікробіологія","Бактерія Ізл Культ","Бактерії ідентифіковані в ізоляті методом культури","Bact; C&S; Cult; Cultures; ID; Identity or presence; Infectious Disease; InfectiousDisease; Islt; Isol; Isolated; Microbiology; Nominal; Point in time; Random","Ідентифіковані бактерії Культ Кат (Ізл)"
"600-7","Ідентифіковані бактерії","Наявність або Ідентифікація","МоментЧасу","Кров","Категорійно","Культура","Мікробіологія","Бактерії Кров Культ","Ідентифіковані бактерії в крові методом Культури","Bact; Blood; C&S; Cult; Cultures; ID; Identity or presence; Infectious Disease; InfectiousDisease; Isolated; Microbiology; Nominal; Point in time; Random; UniversalLabOrders; WB; Whole blood","Ідентифіковані бактерії Культ Кат (Кров)"
"602-3","Ідентифіковані бактерії","Наявність або Ідентифікація","МоментЧасу","Кістка","Категорійно","Аеробна культура","Мікробіологія","Бактерії Кістка АеробКульт","Ідентифіковані бактерії у Кістці методом Аеробної культури","Aerobe; Aerobe Cult; Aerobed; Bact; BON; C&S; Cult; Cultures; ID; Identity or presence; Infectious Disease; InfectiousDisease; Isolated; Microbiology; Nominal; Point in time; Random","Ідентифіковані бактерії АеробКульт Кат (Кістка)"
"608-0","Ідентифіковані бактерії","Наявність або Ідентифікація","МоментЧасу","Вухо","Категорійно","Аеробна культура","Мікробіологія","Бактерії Вухо АеробКульт","Ідентифіковані бактерії у Вусі методом Аеробної культури","Aerobe; Aerobe Cult; Aerobed; Bact; C&S; Cult; Cultures; Hearing; ID; Identity or presence; Infectious Disease; InfectiousDisease; Isolated; Microbiology; Nominal; Otologic; Point in time; Random; UniversalLabOrders","Ідентифіковані бактерії АеробКульт Кат (Вухо)"
"609-8","Ідентифіковані бактерії","Наявність або Ідентифікація","МоментЧасу","Око","Категорійно","Аеробна культура","Мікробіологія","Бактерії Око АеробКульт","Ідентифіковані бактерії в оці методом Аеробної культури","Aerobe; Aerobe Cult; Aerobed; Bact; C&S; Cult; Cultures; Eyeball; ID; Identity or presence; Infectious Disease; InfectiousDisease; Isolated; Microbiology; Nominal; Occular; Oculis; Ophthalmologic; Optic globe; Point in time; Random; UniversalLabOrders; Vision; Visual","Ідентифіковані бактерії АеробКульт Кат (Око)"
"625-4","Ідентифіковані бактерії","Наявність або Ідентифікація","МоментЧасу","Кал","Категорійно","Культура","Мікробіологія","Бактерія Кал Культ","Ідентифікація бактерій у калі методом Культури","Bact; Bowel movement; C&S; Cult; Cultures; Faecal; Faeces; Fecal; Feces; Gastro; Gastroenterology; GI; ID; Identity or presence; Infectious Disease; InfectiousDisease; Isolated; Microbiology; Nominal; Point in time; Random; Stl; Stool = Fecal; UniversalLabOrders","Ідентифікація бактерій Культ Кат (Кал)"
"630-4","Ідентифіковані бактерії","Наявність або Ідентифікація","МоментЧасу","Сеча","Категорійно","Культура","Мікробіологія","Бактерія Сеча Культ","Ідентифікація бактерій у сечі методом Культури","Bact; C&S; Cult; Cultures; ID; Identity or presence; Infectious Disease; InfectiousDisease; Isolated; Microbiology; Nominal; Point in time; Random; UA; UniversalLabOrders; UR; Urn","Ідентифікація бактерій Культ Кат (Сеча)"
"632-0","Ідентифіковані бактерії","Наявність або Ідентифікація","МоментЧасу","Рана","Категорійно","Аеробна культура","Мікробіологія","Бактерії Рана АеробКульт","Ідентифіковані бактерії у Рані методом Аеробної культури","Aerobe; Aerobe Cult; Aerobed; Bact; C&S; Cult; Cultures; ID; Identity or presence; Infectious Disease; InfectiousDisease; Isolated; Microbiology; Nominal; Point in time; Random; Wnd","Ідентифіковані бактерії АеробКульт Кат (Рана)"
"635-3","Ідентифіковані бактерії","Наявність або Ідентифікація","МоментЧасу","ХХХ","Категорійно","Анаеробна культура","Мікробіологія","Бактерія Зр АнаерКульт","Ідентифікація бактерій у Зразку методом Анаеробної культури","Anaero; Anaerobe; Anaerobe Cult; Bact; C&S; Cult; Cultures; ID; Identity or presence; Infectious Disease; InfectiousDisease; Isolated; Microbiology; Misc; Miscellaneous; Nominal; Other; Point in time; Random; Spec; To be specified in another part of the message; UniversalLabOrders; Unspecified","Ідентифікація бактерій АнаерКульт Кат (Зразок)"
"636-1","Ідентифіковані бактерії","Наявність або Ідентифікація","МоментЧасу","ХХХ","Категорійно","Культура стерильних рідин тіла","Мікробіологія","Бактерії Зр КультСтерРід","Ідентифіковані бактерії в зразку методом посіву стерильної рідини організму","Bact; BFld Cult; bod; Bodies; C&S; Cult; Cultures; ID; Identity or presence; Infectious Disease; InfectiousDisease; Isolated; Microbiology; Misc; Miscellaneous; Nominal; Other; Point in time; Random; Spec; To be specified in another part of the message; Unspecified","Ідентифіковані бактерії КультСтерРід Кат (Зразок)"
"610-6","Ідентифіковані бактерії","Наявність або Ідентифікація","МоментЧасу","Рідини тіла","Категорійно","Аеробна культура","Мікробіологія","Бактерії РідТіл АеробКульт","Ідентифіковані бактерії у рідинах тіла методом Аеробної культури","Aerobe; Aerobe Cult; Aerobed; B/F; Bact; BF; bod; Bodies; Body fluid; Body fluid, unsp; C&S; Cult; Cultures; Fl; Fld; FLU; Fluid; ID; Identity or presence; Infectious Disease; InfectiousDisease; Isolated; Microbiology; Nominal; Point in time; Random; UniversalLabOrders","Ідентифіковані бактерії АеробКульт Кат (РідТіл)"
"623-9","Ідентифіковані бактерії","Наявність або Ідентифікація","МоментЧасу","Мокротиння","Категорійно","Респіраторний посів на кістозний фіброз","Мікробіологія","Бактерії Мокр РеспірПосівКістФібр","Ідентифіковані бактерії у мокротинні методом Респіраторного посіву на кістозний фіброз","Bact; C&S; CF Resp Cult; Cult; Cultures; ID; Identity or presence; Infectious Disease; InfectiousDisease; Isolated; Lower respiratory; Lung; Microbiology; Nominal; Point in time; Pulmonary; Pulmonology; Random; Resp Cult; Respiratory; Spt; Sputum; UniversalLabOrders","Ідентифіковані бактерії РеспірПосівКістФібр Кат (Мокр)"
"624-7","Ідентифіковані бактерії","Наявність або Ідентифікація","МоментЧасу","Мокротиння","Категорійно","Респіраторний посів","Мікробіологія","Бактерії Мокр РеспірПосів","Ідентифіковані бактерії у мокротинні методом Респіраторного посіву","Bact; C&S; Cult; Cultures; ID; Identity or presence; Infectious Disease; InfectiousDisease; Isolated; Lower respiratory; Lung; Microbiology; Nominal; Point in time; Pulmonary; Pulmonology; Random; Resp Cult; Respiratory; Spt; Sputum; UniversalLabOrders","Ідентифіковані бактерії РеспірПосів Кат (Мокр)"
"634-6","Ідентифіковані бактерії","Наявність або Ідентифікація","МоментЧасу","ХХХ","Категорійно","Аеробна культура","Мікробіологія","Бактерія Зр АеробКульт","Ідентифікація бактерій у Зразку методом Аеробної культури","Aerobe; Aerobe Cult; Aerobed; Bact; C&S; Cult; Cultures; ID; Identity or presence; Infectious Disease; InfectiousDisease; Isolated; Microbiology; Misc; Miscellaneous; Nominal; Other; Point in time; Random; Spec; To be specified in another part of the message; UniversalLabOrders; Unspecified","Ідентифікація бактерій АеробКульт Кат (Зразок)"
"89344-6","Клітини.CD38+IgM-/100 Клітин.CD19","Чисельна Фракція","МоментЧасу","Кров","Кількісно","","Клітинні Маркери","CD38+IgM-клітини/100 CD19 клітин ЧислФр Кров","CD38+IgM-клітини/100 CD19 клітин у Крові","100 CD19 cells; ADP-ribosyl cyclase; B Cells; B cells expressing CD19 as a percent of total lymphocytes; B4; B-4; Blood; CD19 Cells; CD38 Cells; CD38+IgM- cells; CD38+IgM+ cells; Cell; CELL MARKERS; Cellularity; Cyclic ADP-ribose hydrolase; HD-37; Immune globulin M; Immunoglobulin M; Leu12; Leu-12; Leu17; Leu-17; Number fraction; Percent; Point in time; QNT; Quan; Quant; Quantitative; Random; T10; WB; Whole blood","CD38+IgM-клітини/100 CD19 клітин (Кров)"
