"LOINC_NUM","COMPONENT","PROPERTY","TIME_ASPCT","SYSTEM","SCALE_TYP","METHOD_TYP","CLASS","VersionLastChanged","CHNG_TYPE","DefinitionDescription","STATUS","CONSUMER_NAME","CLASSTYPE","FORMULA","EXMPL_ANSWERS","SURVEY_QUEST_TEXT","SURVEY_QUEST_SRC","UNITSREQUIRED","RELATEDNAMES2","SHORTNAME","ORDER_OBS","HL7_FIELD_SUBFIELD_ID","EXTERNAL_COPYRIGHT_NOTICE","EXAMPLE_UNITS","LONG_COMMON_NAME","EXAMPLE_UCUM_UNITS","STATUS_REASON","STATUS_TEXT","CHANGE_REASON_PUBLIC","COMMON_TEST_RANK","COMMON_ORDER_RANK","HL7_ATTACHMENT_STRUCTURE","EXTERNAL_COPYRIGHT_LINK","PanelType","AskAtOrderEntry","AssociatedObservations","VersionFirstReleased","ValidHL7AttachmentRequest","DisplayName"
"10333-3","Observation","Aper","Pt","CSF","Nom","","SPEC","2.79","NAM","","ACTIVE","","1","","","","","","Appearance; Cerebral spinal fluid; Cerebrospinal Fl; Nominal; Point in time; Random; SPEC; Spinal Fl; Spinal Fld; Spinal Flu; Spinal Fluid","Appearance CSF","Observation","","","","Appearance of Cerebral spinal fluid","","","","Release 2.79: COMPONENT: Triggered by coll w SCT: component that the description is property like as in Color, Appearance, Osmolality have changed to Component: Observation, and Property: Color, or Appearance, or Osmolality, so forth…;","1139","0","","","","","","1.0i","","Appearance (CSF)"
"10352-3","Bacteria","Prid","Pt","Genital","Nom","Aerobic culture","MICRO","2.78","NAM","","ACTIVE","","1","","","","","","Aerobe; Aerobe Cult; Aerobed; Bact; C&S; Cult; Cultures; Gen; Genital tract; ID; Identity or presence; Infectious Disease; InfectiousDisease; Microbiology; Nominal; Point in time; Random; UniversalLabOrders; Urogenit; Urogenital","Bacteria Genital Aerobe Cult","Both","","","","Bacteria identified in Genital specimen by Aerobe culture","","","","Release 2.78: COMPONENT: Removed ""Identified"" from the component because it is implied by the Property ""Prid"";","624","73","","","","","","1.0i","","Bacteria identified Aer cx Nom (Genital specimen)"
"10353-1","Bacteria","Prid","Pt","Nose","Nom","Aerobic culture","MICRO","2.78","NAM","","ACTIVE","","1","","","","","","Aerobe; Aerobe Cult; Aerobed; Bact; C&S; Cult; Cultures; ID; Identity or presence; Infectious Disease; InfectiousDisease; Microbiology; Nasal; Nominal; Nos; Nose (nasal passage); Point in time; Random; Smell; UniversalLabOrders","Bacteria Nose Aerobe Cult","Both","","","","Bacteria identified in Nose by Aerobe culture","","","","Release 2.78: COMPONENT: Removed ""Identified"" from the component because it is implied by the Property ""Prid"";","3941","0","","","","","","1.0i","","Bacteria identified Aer cx Nom (Nose)"
"10354-9","Bacteria","Prid","Pt","Urethra","Nom","Culture","MICRO","2.78","NAM","","ACTIVE","","1","","","","","","Bact; C&S; Cult; Cultures; Genital tract; ID; Identity or presence; Infectious Disease; InfectiousDisease; Microbiology; Nominal; Point in time; Random; Urth","Bacteria Urth Cult","Both","","","","Bacteria identified in Urethra by Culture","","","","Release 2.78: COMPONENT: Removed ""Identified"" from the component because it is implied by the Property ""Prid"";","4881","0","","","","","","1.0i","","Bacteria identified Cx Nom (Urethra)"
"10390-3","Blood product special preparation","Type","Pt","^BPU","Nom","","BLDBK","2.73","MIN","","ACTIVE","","1","","Irradiated; Washed; Reconstituted; Leukoreduced; Directed donation","","","","Bld Prod Special Prep; BLOOD BANK; Blood product unit; Blood Product Unit (Pack); Nominal; Point in time; Prep; Random; Typ","Bld Prod Special Prep BPU","Observation","","","","Blood product special preparation [Type]","","","","","6893","0","","","","","","1.0i","","Blood product special preparation Nom (BPU)"
"10391-1","Cytomegalovirus immune globulin given","Vol","Pt","^Patient","Qn","","BLDBK","2.42","MIN","","ACTIVE","","1","","","","","Y","BLOOD BANK; CMV; CMV Ig; Cytomegalo virus; Cytomgal; GLB; Glob; Glob%; Globul; Globulins; Gvn; HHV-5; Human Herpesvirus-5; Imm; Imun; Imune; Point in time; QNT; Quan; Quant; Quantitative; Random; Volume","CMV Ig Gvn Vol","Observation","","","mL","Cytomegalovirus immune globulin given [Volume]","mL","","","","0","0","","","","","","1.0i","","CMV immune globulin given [Vol]"
"1039-7","G Ag","PrThr","Pt","RBC^BPU","Ord","","BLDBK","2.56","MIN","","ACTIVE","","1","","","","","","Antigen; Antigens; BLOOD BANK; Blood product unit; Blood Product Unit (Pack); Erythrocytes; Hematology; Heme; Ordinal; Point in time; PR; QL; Qual; Qualitative; Random; Red blood cells; Red blood corpusles; Screen","G Ag RBC BPU Ql","Observation","","","","G Ag [Presence] on Red Blood Cells from Blood product unit","","","","The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.","0","0","","","","","","1.0","","G Ag Ql (RBC BPU)"
"104553-3","Microorganism","Prid","Pt","Bld.pos growth","Nom","MS.MALDI-TOF","MICRO","2.78","ADD","","ACTIVE","","1","","","","","N","Bld Pos; Blood; Identity or presence; Microbiology; Microorganisms; Nominal; Org; Organism; Organisms; Point in time; Random; WB; Whole blood","Microorganism Bld Pos MS.MALDI-TOF","Both","","","-","Microorganism identified by MS.MALDI-TOF in Positive blood culture","","","","","0","0","","","","","","2.78","","Microorganism identified MS.MALDI-TOF Nom (Pos bld culture)"
"104597-0","Glucose","MCnc","Pt","BldV","Qn","Glucometer","CHEM","2.78","ADD","","ACTIVE","","1","","","","","N","Bld ven; Bld venous; Blood - venous; Blood ven; Blood venus; Chemistry; Glu; Gluc; Glucomtr; Glucoseur; Level; Mass concentration; Point in time; QNT; Quan; Quant; Quantitative; Random; Venous","Glucose BldV Glucomtr-mCnc","Both","","","mg/dL","Glucose [Mass/volume] in Venous blood by Glucometer","mg/dL","","","","0","0","","","","","","2.78","","Glucose Glucometer (BldV) [Mass/Vol]"
"104684-6","1,1-Dimethoxy-(9Z)octadecene","MCnc","Pt","Bld.dot","Qn","","CHEM","2.78","ADD","","ACTIVE","","1","","","","","N","Blood; Chemistry; DBS; dimethyl acetal oleic; DMA 18:1; DMA C18:1; Dried blood spot; Filter paper; FP; i; Level; Mass concentration; Point in time; QNT; Quan; Quant; Quantitative; Random; WB; Whole blood","DMA 18:1 DBS-mCnc","Both","","","ug/mL","1,1-Dimethoxy-(9Z)octadecene (DMA 18:1) [Mass/volume] in DBS","ug/mL","","","","0","0","","","","","","2.78","","1,1-Dimethoxy-(9Z)octadecene (DMA 18:1) (DBS) [Mass/Vol]"
"104865-1","Bacteria","PrThr","Pt","Urine","Ord","Computer assisted","MICRO","2.78","ADD","","ACTIVE","","1","","","","","N","Artificial Intelligence; Automated detection; Bact; Comp Assist; Microbiology; Ordinal; Point in time; PR; QL; Qual; Qualitative; Random; Screen; UA; UR; Urn","Bacteria Ur Ql Comp Assist","Observation","","","","Bacteria [Presence] in Urine by Computer assisted method","","","","","0","0","","","","","","2.78","","Bacteria Computer assisted Ql (U)"
"105051-7","Bacteria","Naric","Pt","Urine sed","Qn","Microscopy","MICRO","2.78","ADD","","ACTIVE","","1","","","","","N","#/area; Bact; Micro; Microbiology; Micros; Microscopic; Number areic; Point in time; QNT; Quan; Quant; Quantitative; Random; UA; UR; Urine sediment; Urn; UrnS","Bacteria UrnS Micro-#/area","Both","","","/[HPF]","Bacteria [#/area] in Urine sediment by Microscopy","/[HPF]","","","","0","0","","","","","","2.78","","Bacteria Microscopy (Urine sed) [#/Area]"
"105052-5","Bacteria","PrThr","Pt","Urine sed","Ord","Microscopy","MICRO","2.78","ADD","","ACTIVE","","1","","","","","N","Bact; Micro; Microbiology; Micros; Microscopic; Ordinal; Point in time; PR; QL; Qual; Qualitative; Random; Screen; UA; UR; Urine sediment; Urn; UrnS","Bacteria UrnS Ql Micro","Both","","","","Bacteria [Presence] in Urine sediment by Microscopy","","","","","0","0","","","","","","2.78","","Bacteria Microscopy Ql (Urine sed)"
"10525-4","Observation","Prid","Pt","XXX","Nom","Cyto stain","CYTO","2.78","NAM","","ACTIVE","","1","","","","","","CYTOLOGY; Cytology stain; Cytostain; Identity or presence; Misc; Miscellaneous; Nominal; Other; Pap Smear; Pap Stain; Papanicolaou smear; Point in time; Random; Spec; St; Stains; Stn; To be specified in another part of the message; UniversalLabOrders; Unspecified","Cyto Spec","Both","","","","Microscopic observation [Identifier] in Specimen by Cyto stain","","","","Release 2.78: COMPONENT: Updated to seperate the component from the method;","5805","0","","","","","","1.0i","","Microscopic observation Cyto stain Nom (Specimen)"
"10550-2","Temazepam","MCnc","Pt","Ser/Plas","Qn","","DRUG/TOX","2.36","DEL","","DEPRECATED","","1","","","","","","DRUG/TOXICOLOGY; Drugs; Level; Mass concentration; Normison; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; Restoril; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR","Deprecated Temazepam SerPl-mCnc","","","","","Deprecated Temazepam [Mass/volume] in Serum or Plasma","","Duplicate","","","0","0","","","","","","1.0i","","Temazepam [Mass/Vol]"
"105610-0","Bacteria","NCnc","Pt","BAL","Qn","Culture","MICRO","2.78","ADD","","ACTIVE","","1","","","","","N","#; ABS; absolute; absolutes; Bact; Bronchial alveolar lavage; Bronchoalveolar lavage; C&S; Cnt; Count; Count/volume; CT; Cult; Cultures; Microbiology; Number concentration; Number Concentration (count/vol); Point in time; QNT; Quan; Quant; Quantitative; Random","Bacteria # BAL Cult","Observation","","","10*9/L","Bacteria [#/volume] in Bronchoalveolar lavage by Culture","10*9/L","","","","0","0","","","","","","2.78","","Bacteria Cx (BAL) [#/Vol]"
"105907-0","Bacteria","NCnc","Pt","Urine","Qn","","UA","2.78","ADD","","ACTIVE","","1","","","","","N","#; ABS; absolute; absolutes; Bact; Cnt; Count; Count/volume; CT; Number concentration; Number Concentration (count/vol); Point in time; QNT; Quan; Quant; Quantitative; Random; UA; UR; URINALYSIS; Urn","Bacteria # Ur","Both","","","/uL","Bacteria [#/volume] in Urine","/uL","","","","0","0","","","","","","2.78","","Bacteria (U) [#/Vol]"
"105908-8","Bacteria","Naric","Pt","Urine sed","Qn","","UA","2.78","ADD","","ACTIVE","","1","","","","","N","#/area; Bact; Number areic; Point in time; QNT; Quan; Quant; Quantitative; Random; UA; UR; URINALYSIS; Urine sediment; Urn; UrnS","Bacteria #/area UrnS","Both","","","/uL","Bacteria [#/area] in Urine sediment","/uL","","","","0","0","","","","","","2.78","","Bacteria (Urine sed) [#/Area]"
"105917-9","Bacteria","Prid","Pt","BAL","Nom","Culture","MICRO","2.78","ADD","","ACTIVE","","1","","","","","N","Bact; Bronchial alveolar lavage; Bronchoalveolar lavage; C&S; Cult; Cultures; Identity or presence; Microbiology; Nominal; Point in time; Random","Bacteria BAL Cult","Observation","","","","Bacteria identified in Bronchoalveolar lavage by Culture","","","","","0","0","","","","","","2.78","","Bacteria identified Cx Nom (BAL)"
"105924-5","Bacteria","Prid","Pt","Surgical wound","Nom","Culture","MICRO","2.78","ADD","","ACTIVE","","1","","","","","N","Bact; C&S; Cult; Cultures; Identity or presence; Microbiology; Nominal; Operative wound; Point in time; Random; Surg; Wnd","Bacteria Surgical wound Cult","Observation","","","","Bacteria identified in Surgical wound by Culture","","","","","0","0","","","","","","2.78","","Bacteria identified Cx Nom (Surgical wound)"
"105925-2","Bacteria","Prid","Pt","Periumbilical","Nom","Aerobic culture","MICRO","2.78","ADD","","ACTIVE","","1","","","","","N","Aerobe; Aerobe Cult; Aerobed; Bact; C&S; Cult; Cultures; Identity or presence; Microbiology; Nominal; Point in time; Random","Bacteria Periumbilical Aerobe Cult","Observation","","","","Bacteria identified in Periumbilical by Aerobe culture","","","","","0","0","","","","","","2.78","","Bacteria identified Aer cx Nom (Periumbilical)"
"105932-8","Bacteria","Prid","Pt","Bronchial","Nom","Culture","MICRO","2.78","ADD","","ACTIVE","","1","","","","","N","Bact; Bro; C&S; Cult; Cultures; Identity or presence; Microbiology; Nominal; Point in time; Random","Bacteria Bronch Cult","Observation","","","","Bacteria identified in Bronchial specimen by Culture","","","","","0","0","","","","","","2.78","","Bacteria identified Cx Nom (Bronch spec)"
"105933-6","Bacteria","Prid","Pt","Surgical wound","Nom","Anaerobic culture","MICRO","2.78","ADD","","ACTIVE","","1","","","","","N","Anaero; Anaerobe; Anaerobe Cult; Bact; C&S; Cult; Cultures; Identity or presence; Microbiology; Nominal; Operative wound; Point in time; Random; Surg; Wnd","Bacteria Surgical wound Anaerobe Cult","Observation","","","","Bacteria identified in Surgical wound by Anaerobe culture","","","","","0","0","","","","","","2.78","","Bacteria identified Anaer cx Nom (Surgical wound)"
"106016-9","Bacteria","Prid","Pt","Penis","Nom","Culture","MICRO","2.79","ADD","","ACTIVE","","1","","","","","N","Bact; C&S; Cult; Cultures; Identity or presence; Microbiology; Nominal; Pen; Penile; Point in time; Random","Bacteria Penis Cult","Observation","","","","Bacteria identified in Penis by Culture","","","","","0","0","","","","","","2.79","","Bacteria identified Cx Nom (Penis)"
"106018-5","Bacteria","NCnc","Pt","Semen","Qn","Culture","MICRO","2.78","ADD","","ACTIVE","","1","","","","","N","#; ABS; absolute; absolutes; Bact; C&S; Cnt; Count; Count/volume; CT; Cult; Cultures; Ejaculate; Microbiology; Number concentration; Number Concentration (count/vol); Point in time; QNT; Quan; Quant; Quantitative; Random; Sem; Seminal fluid; Smn; SMPLS","Bacteria # Smn Cult","Observation","","","10*3/uL","Bacteria [#/volume] in Semen by Culture","10*3/uL","","","","0","0","","","","","","2.78","","Bacteria Cx (Sem) [#/Vol]"
"106032-6","Bacteria","Prid","Pt","Pus","Nom","Culture","MICRO","2.79","ADD","","ACTIVE","","1","","","","","N","Bact; C&S; Cult; Cultures; Identity or presence; Microbiology; Nominal; Point in time; Random","Bacteria Pus Cult","Observation","","","","Bacteria identified in Pus by Culture","","","","","0","0","","","","","","2.79","","Bacteria identified Cx Nom (Pus)"
"106033-4","Bacteria","Prid","Pt","Pus","Nom","Anaerobic culture","MICRO","2.79","ADD","","ACTIVE","","1","","","","","N","Anaero; Anaerobe; Anaerobe Cult; Bact; C&S; Cult; Cultures; Identity or presence; Microbiology; Nominal; Point in time; Random","Bacteria Pus Anaerobe Cult","Observation","","","","Bacteria identified in Pus by Anaerobe culture","","","","","0","0","","","","","","2.79","","Bacteria identified Anaer cx Nom (Pus)"
"106042-5","Bacteria","Prid","Pt","Mmlk","Nom","Culture","MICRO","2.79","ADD","","ACTIVE","","1","","","","","N","Bact; C&S; Cult; Cultures; Identity or presence; Microbiology; Mother Milk; Mother's milk; Nominal; Point in time; Random","Bacteria Mother Milk Cult","Observation","","","","Bacteria identified in Mother's milk by Culture","","","","","0","0","","","","","","2.79","","Bacteria identified Cx Nom (Mother's milk)"
"107188-5","Bacteria","Prid","Pt","Abscess","Nom","Anaerobic culture","MICRO","2.79","ADD","","ACTIVE","","1","","","","","N","Absc; Anaero; Anaerobe; Anaerobe Cult; Bact; C&S; Cult; Cultures; Identity or presence; Microbiology; Nominal; Point in time; Random","Bacteria Absc Anaerobe Cult","Both","","","","Bacteria identified in Abscess by Anaerobe culture","","","","","0","0","","","","","","2.79","","Bacteria identified Anaer cx Nom (Abscess)"
"1099-1","K little p super little a Ab","PrThr","Pt","Ser/Plas","Ord","","BLDBK","2.56","MIN","","ACTIVE","","1","","","","","","ABS; Aby; Antby; Anti; Antibodies; Antibody; Autoantibodies; Autoantibody; BLOOD BANK; K (little p) (little a); Kell Blood Group System; Kp sup(a); Kp^a; Ordinal; p; P prime; Pl; Plasma; Plsm; Point in time; PR; QL; Qual; Qualitative; Random; Screen; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR","Kp sup(a) Ab SerPl Ql","Observation","","","","Kp sup(a) Ab [Presence] in Serum or Plasma","","","","The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.","0","0","","","","","","1.0","","Kp sup(a) Ab Ql"
"11101-3","Bacteria","Naric","Pt","Synv fld","Qn","Microscopy.light.HPF","MICRO","2.73","MIN","","ACTIVE","","1","","","","","Y","#/area; Bact; ID; Infectious Disease; InfectiousDisease; Joint aspirate; Joint fld; Joint flu; Joint fluid; LM; Micro; Microbiology; Micros; Microscopic; Number areic; Point in time; QNT; Quan; Quant; Quantitative; Random; Rheum; Rheumatology; SF; SNV; Syn; Syn fl; Synov; Synovial fluid","Bacteria Snv HPF-#/area","Observation","","","/HPF","Bacteria [#/area] in Synovial fluid by Microscopy high power field","/[HPF]","","","","17661","0","","","","","","1.0j-a","","Bacteria LM.HPF (Syn fld) [#/Area]"
"11261-5","Bacteria","Prid","Pt","Vag","Nom","Aerobic culture","MICRO","2.78","NAM","","ACTIVE","","1","","","","","","Aerobe; Aerobe Cult; Aerobed; Bact; C&S; Cult; Cultures; Genital vaginal; Gyn; Gynecology; ID; Identity or presence; Infectious Disease; InfectiousDisease; Microbiology; Nominal; OB; ObGyn; Obstetrics; Point in time; Random; UniversalLabOrders; Vag fld; Vag fluid; Vagina; Vaginal fluid","Bacteria Vag Aerobe Cult","Both","","","","Bacteria identified in Vaginal fluid by Aerobe culture","","","","Release 2.78: COMPONENT: Removed ""Identified"" from the component because it is implied by the Property ""Prid"";","4068","0","","","","","","1.0j-a","","Bacteria identified Aer cx Nom (Vag fld)"
"11475-1","Microorganism","Prid","Pt","XXX","Nom","Culture","MICRO","2.78","NAM","","ACTIVE","","1","","","","","","C&S; Cult; Cultures; ID; Identity or presence; Infectious Disease; InfectiousDisease; Microbiology; Microorganisms; Misc; Miscellaneous; Nominal; Org; Organism; Organisms; Other; Point in time; Random; Spec; To be specified in another part of the message; Unspecified","Microorganism Spec Cult","Both","","","","Microorganism identified in Specimen by Culture","","","","Release 2.78: COMPONENT: Removed ""Identified"" from the component because it is implied by the Property ""Prid"";","139","0","","","","","","1.0j-a","","Microorganism identified Cx Nom (Specimen)"
"11702-8","Blood flow velocity.systolic.max","Vel","Pt","Cerebral artery middle","Qn","US.doppler","OB.US","2.67","NAM","Maximum value of the Doppler shift frequency envelope.","ACTIVE","","2","","","","","Y","Art; Bld flow; Bld flow vel; Bld flow.velocity; Cardio; Cardiology; Cereb; Cerebral a Middle; DOP; DUPLEX; Dynamic; Echography; Gyn; Gynecology; Heart Disease; Largest; Max V; Maximal; Maximum; OB; ObGyn; OBSTERICAL; OBSTERICAL.ULTRASOUND; Obstetrical; Obstetrics; Peak; Point in time; QNT; Quan; Quant; Quantitative; Random; Sonogram; Sonograph; Sonography; ULS; Ultrasound; V max; Vel; VEL max; Velocity; Vmax; Vmax sys","Cerebral a Middle Vmax sys DOP","Observation","","","cm/s","Cerebral artery middle Peak systolic flow velocity US.doppler","cm/s","","","Release 2.67: COMPONENT: Updated component to include velocity for accuracy and consistency across terms","0","0","","","","","","1.0j-a","",""
