PRODUCTID	PRODUCTNDC	NDCPACKAGECODE	PACKAGEDESCRIPTION	STARTMARKETINGDATE	ENDMARKETINGDATE	NDC_EXCLUDE_FLAG	SAMPLE_PACKAGE
0002-1436_ebb44b14-8a4c-4e2b-aff1-ad1f8548a76c	0002-1436	0002-1436-61	2 SYRINGE in 1 CARTON (0002-1436-61)  / 1 mL in 1 SYRINGE	20180927		N	Y
0002-1445_246fceb3-0f60-4bd7-8f06-4f34537f5d95	0002-1445	0002-1445-09	3 SYRINGE in 1 CARTON (0002-1445-09)  / 1 mL in 1 SYRINGE (0002-1445-01) 	20160322		N	N
0002-1445_246fceb3-0f60-4bd7-8f06-4f34537f5d95	0002-1445	0002-1445-11	1 SYRINGE in 1 CARTON (0002-1445-11)  / 1 mL in 1 SYRINGE (0002-1445-01) 	20160322		N	N
0002-1445_246fceb3-0f60-4bd7-8f06-4f34537f5d95	0002-1445	0002-1445-27	2 SYRINGE in 1 CARTON (0002-1445-27)  / 1 mL in 1 SYRINGE (0002-1445-01) 	20160322		N	N
0002-1445_246fceb3-0f60-4bd7-8f06-4f34537f5d95	0002-1445	0002-1445-61	1 SYRINGE in 1 CARTON (0002-1445-61)  / 1 mL in 1 SYRINGE	20160419		N	Y
0002-1457_f6d96cc7-53f4-45cc-a044-5f566cf0a609	0002-1457	0002-1457-80	4 SYRINGE in 1 CARTON (0002-1457-80)  / .5 mL in 1 SYRINGE (0002-1457-01) 	20220513		N	N
0002-1460_f6d96cc7-53f4-45cc-a044-5f566cf0a609	0002-1460	0002-1460-80	4 SYRINGE in 1 CARTON (0002-1460-80)  / .5 mL in 1 SYRINGE (0002-1460-01) 	20220513		N	N
0002-1471_f6d96cc7-53f4-45cc-a044-5f566cf0a609	0002-1471	0002-1471-80	4 SYRINGE in 1 CARTON (0002-1471-80)  / .5 mL in 1 SYRINGE (0002-1471-01) 	20220513		N	N
0002-1484_f6d96cc7-53f4-45cc-a044-5f566cf0a609	0002-1484	0002-1484-80	4 SYRINGE in 1 CARTON (0002-1484-80)  / .5 mL in 1 SYRINGE (0002-1484-01) 	20220513		N	N
0002-1495_f6d96cc7-53f4-45cc-a044-5f566cf0a609	0002-1495	0002-1495-80	4 SYRINGE in 1 CARTON (0002-1495-80)  / .5 mL in 1 SYRINGE (0002-1495-01) 	20220513		N	N
0002-1506_f6d96cc7-53f4-45cc-a044-5f566cf0a609	0002-1506	0002-1506-61	4 SYRINGE in 1 CARTON (0002-1506-61)  / .5 mL in 1 SYRINGE	20220608		N	Y
0002-1506_f6d96cc7-53f4-45cc-a044-5f566cf0a609	0002-1506	0002-1506-80	4 SYRINGE in 1 CARTON (0002-1506-80)  / .5 mL in 1 SYRINGE (0002-1506-01) 	20220513		N	N
0002-2002_c4e3941e-31d3-4841-b154-3ee43bf34b11	0002-2002	0002-2002-01	1 VIAL, SINGLE-DOSE in 1 CARTON (0002-2002-01)  / .5 mL in 1 VIAL, SINGLE-DOSE	20240328		N	N
0002-2002_c4e3941e-31d3-4841-b154-3ee43bf34b11	0002-2002	0002-2002-04	4 VIAL, SINGLE-DOSE in 1 CARTON (0002-2002-04)  / .5 mL in 1 VIAL, SINGLE-DOSE	20250707		N	N
0002-2214_f6d96cc7-53f4-45cc-a044-5f566cf0a609	0002-2214	0002-2214-01	1 VIAL, SINGLE-DOSE in 1 CARTON (0002-2214-01)  / .5 mL in 1 VIAL, SINGLE-DOSE	20230728		N	N
0002-2236_2a046089-7cd3-43d3-9f7f-27e3e4b49f0d	0002-2236	0002-2236-61	2 SYRINGE in 1 CARTON (0002-2236-61)  / .5 mL in 1 SYRINGE	20200930		N	Y
0002-2236_2a046089-7cd3-43d3-9f7f-27e3e4b49f0d	0002-2236	0002-2236-80	4 SYRINGE in 1 CARTON (0002-2236-80)  / .5 mL in 1 SYRINGE (0002-2236-01) 	20200903		N	N
0002-2340_f6d96cc7-53f4-45cc-a044-5f566cf0a609	0002-2340	0002-2340-01	1 VIAL, SINGLE-DOSE in 1 CARTON (0002-2340-01)  / .5 mL in 1 VIAL, SINGLE-DOSE	20230728		N	N
0002-2377_ebb44b14-8a4c-4e2b-aff1-ad1f8548a76c	0002-2377	0002-2377-11	1 SYRINGE in 1 CARTON (0002-2377-11)  / 1 mL in 1 SYRINGE (0002-2377-01) 	20190118		N	N
0002-2423_f6d96cc7-53f4-45cc-a044-5f566cf0a609	0002-2423	0002-2423-01	1 VIAL, SINGLE-DOSE in 1 CARTON (0002-2423-01)  / .5 mL in 1 VIAL, SINGLE-DOSE	20230728		N	N
0002-2457_c4e3941e-31d3-4841-b154-3ee43bf34b11	0002-2457	0002-2457-80	4 SYRINGE in 1 CARTON (0002-2457-80)  / .5 mL in 1 SYRINGE (0002-2457-01) 	20231108		N	N
0002-2460_c4e3941e-31d3-4841-b154-3ee43bf34b11	0002-2460	0002-2460-80	4 SYRINGE in 1 CARTON (0002-2460-80)  / .5 mL in 1 SYRINGE (0002-2460-01) 	20231108		N	N
0002-2471_c4e3941e-31d3-4841-b154-3ee43bf34b11	0002-2471	0002-2471-80	4 SYRINGE in 1 CARTON (0002-2471-80)  / .5 mL in 1 SYRINGE (0002-2471-01) 	20231108		N	N
0002-2484_c4e3941e-31d3-4841-b154-3ee43bf34b11	0002-2484	0002-2484-80	4 SYRINGE in 1 CARTON (0002-2484-80)  / .5 mL in 1 SYRINGE (0002-2484-01) 	20231108		N	N
0002-2495_c4e3941e-31d3-4841-b154-3ee43bf34b11	0002-2495	0002-2495-80	4 SYRINGE in 1 CARTON (0002-2495-80)  / .5 mL in 1 SYRINGE (0002-2495-01) 	20231108		N	N
0002-2506_c4e3941e-31d3-4841-b154-3ee43bf34b11	0002-2506	0002-2506-61	4 SYRINGE in 1 CARTON (0002-2506-61)  / .5 mL in 1 SYRINGE	20231108		N	Y
0002-2506_c4e3941e-31d3-4841-b154-3ee43bf34b11	0002-2506	0002-2506-80	4 SYRINGE in 1 CARTON (0002-2506-80)  / .5 mL in 1 SYRINGE (0002-2506-01) 	20231108		N	N
0002-2980_a72109ed-7545-4ea1-b293-2620385d8239	0002-2980	0002-2980-26	120 CAPSULE in 1 BOTTLE (0002-2980-26) 	20200508		N	N
0002-2980_a72109ed-7545-4ea1-b293-2620385d8239	0002-2980	0002-2980-60	60 CAPSULE in 1 BOTTLE (0002-2980-60) 	20200508		N	N
0002-3002_f6d96cc7-53f4-45cc-a044-5f566cf0a609	0002-3002	0002-3002-01	1 VIAL, SINGLE-DOSE in 1 CARTON (0002-3002-01)  / .5 mL in 1 VIAL, SINGLE-DOSE	20230728		N	N
0002-3115_ebb44b14-8a4c-4e2b-aff1-ad1f8548a76c	0002-3115	0002-3115-09	3 SYRINGE in 1 CARTON (0002-3115-09)  / 1 mL in 1 SYRINGE (0002-3115-01) 	20190617		N	N
0002-3116_6d187c8c-fbc5-468e-a094-bf16c4f09d4c	0002-3116	0002-3116-02	1 SYRINGE in 1 CARTON (0002-3116-02)  / 2 mL in 1 SYRINGE	20250403		N	N
0002-3182_2a046089-7cd3-43d3-9f7f-27e3e4b49f0d	0002-3182	0002-3182-61	2 SYRINGE in 1 CARTON (0002-3182-61)  / .5 mL in 1 SYRINGE	20200930		N	Y
0002-3182_2a046089-7cd3-43d3-9f7f-27e3e4b49f0d	0002-3182	0002-3182-80	4 SYRINGE in 1 CARTON (0002-3182-80)  / .5 mL in 1 SYRINGE (0002-3182-01) 	20200903		N	N
0002-3227_90fd3143-d5d4-4343-9570-b3863e31b1a0	0002-3227	0002-3227-30	30 CAPSULE in 1 BOTTLE (0002-3227-30) 	20030110		N	N
0002-3228_90fd3143-d5d4-4343-9570-b3863e31b1a0	0002-3228	0002-3228-30	30 CAPSULE in 1 BOTTLE (0002-3228-30) 	20030110		N	N
0002-3229_90fd3143-d5d4-4343-9570-b3863e31b1a0	0002-3229	0002-3229-30	30 CAPSULE in 1 BOTTLE (0002-3229-30) 	20030110		N	N
0002-3230_fc7e1ba8-821f-455f-9d1c-e168651d3ed5	0002-3230	0002-3230-30	30 CAPSULE in 1 BOTTLE (0002-3230-30) 	20070409		N	N
0002-3231_fc7e1ba8-821f-455f-9d1c-e168651d3ed5	0002-3231	0002-3231-30	30 CAPSULE in 1 BOTTLE (0002-3231-30) 	20040119		N	N
0002-3235_aa5061b1-f237-425a-9d05-575c333dfd37	0002-3235	0002-3235-60	60 CAPSULE, DELAYED RELEASE in 1 BOTTLE (0002-3235-60) 	20040824	20261002	N	N
0002-3238_90fd3143-d5d4-4343-9570-b3863e31b1a0	0002-3238	0002-3238-30	30 CAPSULE in 1 BOTTLE (0002-3238-30) 	20030110		N	N
0002-3239_90fd3143-d5d4-4343-9570-b3863e31b1a0	0002-3239	0002-3239-30	30 CAPSULE in 1 BOTTLE (0002-3239-30) 	20030110		N	N
0002-3240_aa5061b1-f237-425a-9d05-575c333dfd37	0002-3240	0002-3240-30	30 CAPSULE, DELAYED RELEASE in 1 BOTTLE (0002-3240-30) 	20040824	20260417	N	N
0002-3240_aa5061b1-f237-425a-9d05-575c333dfd37	0002-3240	0002-3240-90	90 CAPSULE, DELAYED RELEASE in 1 BOTTLE (0002-3240-90) 	20040824	20260417	N	N
0002-3250_90fd3143-d5d4-4343-9570-b3863e31b1a0	0002-3250	0002-3250-30	30 CAPSULE in 1 BOTTLE (0002-3250-30) 	20050824		N	N
0002-3251_90fd3143-d5d4-4343-9570-b3863e31b1a0	0002-3251	0002-3251-30	30 CAPSULE in 1 BOTTLE (0002-3251-30) 	20050824		N	N
0002-3270_aa5061b1-f237-425a-9d05-575c333dfd37	0002-3270	0002-3270-30	30 CAPSULE, DELAYED RELEASE in 1 BOTTLE (0002-3270-30) 	20100115	20251211	N	N
0002-3977_a72109ed-7545-4ea1-b293-2620385d8239	0002-3977	0002-3977-60	60 CAPSULE in 1 BOTTLE (0002-3977-60) 	20200508		N	N
0002-4112_277268c0-c043-47fd-9c20-d4b7f05ef914	0002-4112	0002-4112-30	30 TABLET in 1 BOTTLE (0002-4112-30) 	19970623		N	N
0002-4115_277268c0-c043-47fd-9c20-d4b7f05ef914	0002-4115	0002-4115-30	30 TABLET in 1 BOTTLE (0002-4115-30) 	19961001		N	N
0002-4116_277268c0-c043-47fd-9c20-d4b7f05ef914	0002-4116	0002-4116-30	30 TABLET in 1 BOTTLE (0002-4116-30) 	19961001		N	N
0002-4117_277268c0-c043-47fd-9c20-d4b7f05ef914	0002-4117	0002-4117-30	30 TABLET in 1 BOTTLE (0002-4117-30) 	19961001		N	N
0002-4182_6f2a9826-7cb2-4eac-8bf2-52b5af794477	0002-4182	0002-4182-30	30 TABLET, FILM COATED in 1 BOTTLE (0002-4182-30) 	20180531		N	N
0002-4182_6f2a9826-7cb2-4eac-8bf2-52b5af794477	0002-4182	0002-4182-61	30 TABLET, FILM COATED in 1 BOTTLE (0002-4182-61) 	20180531		N	Y
0002-4184_d46edd04-2907-438c-9e1f-b94b5509c0fd	0002-4184	0002-4184-30	30 TABLET in 1 BOTTLE (0002-4184-30) 	20161216		N	N
0002-4312_75a13e98-3736-4256-8277-6c05bcaddcf5	0002-4312	0002-4312-08	2 BLISTER PACK in 1 CARTON (0002-4312-08)  / 4 TABLET in 1 BLISTER PACK	20200131		N	N
0002-4312_75a13e98-3736-4256-8277-6c05bcaddcf5	0002-4312	0002-4312-61	1 BLISTER PACK in 1 CARTON (0002-4312-61)  / 4 TABLET in 1 BLISTER PACK	20210303		N	Y
0002-4312_75a13e98-3736-4256-8277-6c05bcaddcf5	0002-4312	0002-4312-62	1 BLISTER PACK in 1 CARTON (0002-4312-62)  / 2 TABLET in 1 BLISTER PACK	20220228		N	Y
0002-4415_277268c0-c043-47fd-9c20-d4b7f05ef914	0002-4415	0002-4415-30	30 TABLET in 1 BOTTLE (0002-4415-30) 	20000110		N	N
0002-4420_277268c0-c043-47fd-9c20-d4b7f05ef914	0002-4420	0002-4420-30	30 TABLET in 1 BOTTLE (0002-4420-30) 	20010301		N	N
0002-4453_277268c0-c043-47fd-9c20-d4b7f05ef914	0002-4453	0002-4453-85	30 DOSE PACK in 1 CARTON (0002-4453-85)  / 1 BLISTER PACK in 1 DOSE PACK (0002-4453-01)  / 1 TABLET, ORALLY DISINTEGRATING in 1 BLISTER PACK	20000601		N	N
0002-4454_277268c0-c043-47fd-9c20-d4b7f05ef914	0002-4454	0002-4454-85	30 DOSE PACK in 1 CARTON (0002-4454-85)  / 1 BLISTER PACK in 1 DOSE PACK (0002-4454-01)  / 1 TABLET, ORALLY DISINTEGRATING in 1 BLISTER PACK	20000601		N	N
0002-4455_277268c0-c043-47fd-9c20-d4b7f05ef914	0002-4455	0002-4455-85	30 DOSE PACK in 1 CARTON (0002-4455-85)  / 1 BLISTER PACK in 1 DOSE PACK (0002-4455-01)  / 1 TABLET, ORALLY DISINTEGRATING in 1 BLISTER PACK	20010901		N	N
0002-4456_277268c0-c043-47fd-9c20-d4b7f05ef914	0002-4456	0002-4456-85	30 DOSE PACK in 1 CARTON (0002-4456-85)  / 1 BLISTER PACK in 1 DOSE PACK (0002-4456-01)  / 1 TABLET, ORALLY DISINTEGRATING in 1 BLISTER PACK	20010901		N	N
0002-4462_b08910e8-672e-43a3-a2a3-44b87b2d381a	0002-4462	0002-4462-30	30 TABLET, FILM COATED in 1 BOTTLE (0002-4462-30) 	20031126		Y	N
0002-4463_b08910e8-672e-43a3-a2a3-44b87b2d381a	0002-4463	0002-4463-30	30 TABLET, FILM COATED in 1 BOTTLE (0002-4463-30) 	20031126		Y	N
0002-4464_b08910e8-672e-43a3-a2a3-44b87b2d381a	0002-4464	0002-4464-30	30 TABLET, FILM COATED in 1 BOTTLE (0002-4464-30) 	20031126		Y	N
0002-4465_b08910e8-672e-43a3-a2a3-44b87b2d381a	0002-4465	0002-4465-34	2 BLISTER PACK in 1 CARTON (0002-4465-34)  / 15 TABLET, FILM COATED in 1 BLISTER PACK (0002-4465-79) 	20080107		N	N
0002-4479_6f2a9826-7cb2-4eac-8bf2-52b5af794477	0002-4479	0002-4479-30	30 TABLET, FILM COATED in 1 BOTTLE (0002-4479-30) 	20220510		Y	N
0002-4479_6f2a9826-7cb2-4eac-8bf2-52b5af794477	0002-4479	0002-4479-61	30 TABLET, FILM COATED in 1 BOTTLE (0002-4479-61) 	20220510		N	Y
0002-4483_3126d248-b8dc-4225-a886-bd8bed04de5b	0002-4483	0002-4483-54	1 BLISTER PACK in 1 CARTON (0002-4483-54)  / 14 TABLET in 1 BLISTER PACK	20171006		Y	N
0002-4483_3126d248-b8dc-4225-a886-bd8bed04de5b	0002-4483	0002-4483-62	2 BLISTER PACK in 1 CARTON (0002-4483-62)  / 14 TABLET in 1 BLISTER PACK	20250215		N	Y
0002-4491_75a13e98-3736-4256-8277-6c05bcaddcf5	0002-4491	0002-4491-08	2 BLISTER PACK in 1 CARTON (0002-4491-08)  / 4 TABLET in 1 BLISTER PACK	20200131		N	N
0002-4491_75a13e98-3736-4256-8277-6c05bcaddcf5	0002-4491	0002-4491-61	1 BLISTER PACK in 1 CARTON (0002-4491-61)  / 4 TABLET in 1 BLISTER PACK	20200131		N	Y
0002-4491_75a13e98-3736-4256-8277-6c05bcaddcf5	0002-4491	0002-4491-62	1 BLISTER PACK in 1 CARTON (0002-4491-62)  / 2 TABLET in 1 BLISTER PACK	20220228		N	Y
0002-4732_6f2a9826-7cb2-4eac-8bf2-52b5af794477	0002-4732	0002-4732-30	30 TABLET, FILM COATED in 1 BOTTLE (0002-4732-30) 	20191008		N	N
