"LoincNumber","ConsumerName"
"626-2","Bacterial culture, Throat"
"20474-3","Bacterial culture, Tissue"
"43408-4","Bacterial culture, Tissue"
"627-0","Bacterial culture, Tissue"
"628-8","Bacterial culture, Tissue"
"58940-8","Bacterial culture, Total parental nutrition"
"629-6","Bacterial culture, Ulcer"
"631-2","Bacterial culture, Unknown substance"
"91818-5","Bacterial culture, Upper respiratory"
"91819-3","Bacterial culture, Upper respiratory"
"10354-9","Bacterial culture, Urethra"
"14477-4","Bacterial culture, Urethra"
"100906-7","Bacterial culture, Urine"
"13315-7","Bacterial culture, Urine"
"14320-6","Bacterial culture, Urine"
"17969-7","Bacterial culture, Urine"
"630-4","Bacterial culture, Urine"
"77193-1","Bacterial culture, Uterus"
"11261-5","Bacterial culture, Vaginal fluid"
"74356-7","Bacterial culture, Ventriculoperitoneal (VP) shunt"
"14093-9","Bacterial culture, Water"
"632-0","Bacterial culture, Wound"
"633-8","Bacterial culture, Wound"
"6462-6","Bacterial culture, Wound"
"20877-7","Bacterial test"
"42661-9","Bacterial test"
"42803-7","Bacterial test"
"42806-0","Bacterial test"
"75756-7","Bacterial test"
"32810-4","Bacterial test, Bronchial specimen"
"13314-0","Bacterial test, Semen"
"23667-9","Bacterial test, Specimen"
"41741-0","Bacterial test, Specimen"
"75518-1","Bacterial test, Spinal fluid"
"99932-6","Bacterial, Body fluid"
"104865-1","Bacterial, Urine"
"105907-0","Bacterial, Urine"
"105051-7","Bacterial, Urine sediment"
"105052-5","Bacterial, Urine sediment"
"105908-8","Bacterial, Urine sediment"
"93432-3","Blastomyces sp antigen, Bronchoalveolar lavage specimen"
"93429-9","Blastomyces sp antigen, Urine"
"10390-3","Blood product special preparation, Blood Product Unit"
"31750-3","Bovine inner ear antigen, Blood"
"95084-0","C peptide 2 hr after Meal, Blood"
"31157-1","Carboxyhemoglobin, Blood"
"89344-6","CD38+IgM- cells/Cells.CD19, Blood"
"85818-3","Clot formation+Clotting time, Blood"
"101448-9","Contactin-associated protein 1 IgG antibody, Blood"
"10332-5","Cortisol before 250 ug Corticotropin intramuscular, Blood"
"14402-2","Creatinine, Stomach fluid"
"90444-1","Diethylpropion, Blood"
"54443-7","Echovirus 2 antibody, Blood"
"94841-4","Fetal Potassium"
"1039-7","G antigen, Blood Product Unit"
"95095-6","Glucagon 2 hr after Meal, Blood"
"104597-0","Glucose, Blood"
"34703-9","Hepatitis C virus (HCV), Blood"
"36921-5","Herpes simplex virus (HSV) 1+2 IgG antibody, Blood"
"101421-6","Human coronavirus NL63, Respiratory system specimen"
"54148-2","Interpretation of Autoantibodies test result, Blood"
"19096-7","Interpretation of Electrolytes - single valence test result, Urine"
"1099-1","Kp sup(a) antibody, Blood"
"11475-1","Microorganism culture, Specimen"
"76346-6","Microorganism test"
"92253-4","Microorganism test"
"49034-2","Microorganism test, Cervix Or Vagina Specimen"
"104553-3","Microorganism test, Infected blood"
"43161-9","Microorganism, Specimen"
"10525-4","Microscopic observation, Specimen"
"90324-5","Mycoplasma hyopneumoniae, Specimen"
"102896-8","Oriental cockroach allergy test"
"14407-1","Phosphate, Stomach fluid"
"2830-8","Potassium renal clearance, Urine+Blood"
"49788-3","Potassium, Amniotic fluid"
"22760-3","Potassium, Blood"
"2823-3","Potassium, Blood"
"32713-0","Potassium, Blood"
"39789-3","Potassium, Blood"
"39790-1","Potassium, Blood"
"41656-0","Potassium, Blood"
"42569-4","Potassium, Blood"
"6298-4","Potassium, Blood"
"75940-7","Potassium, Blood"
"77142-8","Potassium, Blood"
"2821-7","Potassium, Body fluid"
"2820-9","Potassium, Dialysis fluid"
"5927-9","Potassium, Dialysis fluid"
"50902-6","Potassium, Hair"
"79710-0","Potassium, Hair"
"17795-6","Potassium, Hyperal solution"
"60218-5","Potassium, Mother's milk"
"39785-1","Potassium, Peritoneal dialysis fluid"
"49789-1","Potassium, Peritoneal fluid"
"2824-1","Potassium, Red blood cells"
"82722-0","Potassium, Red blood cells"
"2825-8","Potassium, Saliva"
"32336-0","Potassium, Specimen"
"87454-5","Potassium, Specimen"
"87455-2","Potassium, Specimen"
"2819-1","Potassium, Spinal fluid"
"2822-5","Potassium, Stomach fluid"
"15202-5","Potassium, Stool"
"25506-7","Potassium, Stool"
"27441-5","Potassium, Stool"
"2826-6","Potassium, Stool"
"59162-8","Potassium, Stool"
"6792-6","Potassium, Stool"
"6940-1","Potassium, Stool"
"2827-4","Potassium, Sweat"
"14172-1","Potassium, Synovial fluid"
"59733-6","Potassium, Tissue"
"30549-0","Potassium, Total parental nutrition"
"18372-3","Potassium, Urine"
"21476-7","Potassium, Urine"
"2828-2","Potassium, Urine"
"2829-0","Potassium, Urine"
"32550-6","Potassium, Urine"
"35677-4","Potassium, Urine"
"51720-1","Potassium, Urine"
"53123-6","Potassium, Urine"
"57355-0","Potassium, Urine"
"57379-0","Potassium, Urine"
"57380-8","Potassium, Urine"
"58996-0","Potassium, Urine"
"12814-0","Potassium, Vitreous fluid"
"9482-1","Potassium, Water"
"102820-8","Sole IgG antibody"
"100041-3","Susceptibility to Aminoglycoside"
"10550-2","Temazepam, Blood"
"14394-1","Urea Nitrogen (BUN), Pleural fluid"
"14396-6","Urea Nitrogen (BUN), Synovial fluid"
"3105-4","Urobilinogen, Stool"
"10391-1","Volume of Cytomegalovirus (CMV) Immune Globulin given"
"55380-0","West Nile virus antibody, Blood"
"95675-5","Yellow Fever virus IgG antibody, Specimen"
